config,seed,learning_rate,layer_sizes,final_train_loss,final_train_accuracy,final_train_macro_sensitivity,final_train_macro_specificity,final_train_sensitivity_class_0,final_train_sensitivity_class_1,final_train_sensitivity_class_2,final_train_specificity_class_0,final_train_specificity_class_1,final_train_specificity_class_2,final_val_loss,final_val_accuracy,final_val_macro_sensitivity,final_val_macro_specificity,final_val_sensitivity_class_0,final_val_sensitivity_class_1,final_val_sensitivity_class_2,final_val_specificity_class_0,final_val_specificity_class_1,final_val_specificity_class_2,final_test_loss,final_test_accuracy,final_test_macro_sensitivity,final_test_macro_specificity,final_test_sensitivity_class_0,final_test_sensitivity_class_1,final_test_sensitivity_class_2,final_test_specificity_class_0,final_test_specificity_class_1,final_test_specificity_class_2
small_1_hidden_4_lr_0_01,0,0.01,13 -> 4 -> 3,0.020623217402135362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05632059148698912,0.9722222222222222,0.9666666666666667,0.9848484848484849,1.0,1.0,0.9,1.0,0.9545454545454546,1.0,0.0391184305731627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,1,0.01,13 -> 4 -> 3,0.017806904436403998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05719940201510835,0.9722222222222222,0.9761904761904763,0.9861111111111112,1.0,0.9285714285714286,1.0,0.9583333333333334,1.0,1.0,0.10624476361921137,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
small_1_hidden_4_lr_0_01,2,0.01,13 -> 4 -> 3,0.019432627021836544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08761329808988412,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.055775700856601815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,3,0.01,13 -> 4 -> 3,0.020953811705189576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15019330530597458,0.9444444444444444,0.9523809523809524,0.9732905982905984,1.0,0.8571428571428571,1.0,0.9583333333333334,1.0,0.9615384615384616,0.035701249658655204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,4,0.01,13 -> 4 -> 3,0.00522575674037735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08535744002715938,0.9722222222222222,0.9666666666666667,0.9848484848484849,1.0,1.0,0.9,1.0,0.9545454545454546,1.0,0.0027932867767062053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,5,0.01,13 -> 4 -> 3,0.005603783648556419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016262092713774632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09889003795477533,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
small_1_hidden_4_lr_0_01,6,0.01,13 -> 4 -> 3,0.008529903648556105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07504754322006092,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.025347143782531466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,7,0.01,13 -> 4 -> 3,0.0034835137496938406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09992427811469005,0.9444444444444444,0.9523809523809524,0.9732905982905984,1.0,0.8571428571428571,1.0,0.9583333333333334,1.0,0.9615384615384616,0.033833295566602334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_01,8,0.01,13 -> 4 -> 3,0.019931738314205236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015227123537069768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10379476095143393,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
small_1_hidden_4_lr_0_01,9,0.01,13 -> 4 -> 3,0.005995025892805913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04508015365446358,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.018472753858179498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_1,0,0.1,13 -> 4 -> 3,0.0013552936310312477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04962265375481907,0.9722222222222222,0.9666666666666667,0.9848484848484849,1.0,1.0,0.9,1.0,0.9545454545454546,1.0,0.02218252965263752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_1,1,0.1,13 -> 4 -> 3,0.0002768396408924031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13289616903693915,0.9722222222222222,0.9761904761904763,0.9861111111111112,1.0,0.9285714285714286,1.0,0.9583333333333334,1.0,1.0,0.12495577382720793,0.9428571428571428,0.9523809523809524,0.9726867335562988,1.0,0.8571428571428571,1.0,0.9565217391304348,1.0,0.9615384615384616
small_1_hidden_4_lr_0_1,2,0.1,13 -> 4 -> 3,0.001310164945084017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0745783764740629,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.03968258958227953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_1,3,0.1,13 -> 4 -> 3,0.0013428867271716262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20182590655051968,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.002426845807524243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_4_lr_0_1,4,0.1,13 -> 4 -> 3,0.0003054467642380508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13144955462553118,0.9444444444444444,0.9388888888888888,0.9696969696969697,0.9166666666666666,1.0,0.9,1.0,0.9090909090909091,1.0,0.00036291503206235684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
